timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574590709413,4,HTTP AddRequest,200,OK,Thread Group 1-1,text,true,,190,222,1,1,http://localhost:8080/api/person,3,0,0
1574590709417,5,HTTP AddRequest,200,OK,Thread Group 1-1,text,true,,188,220,1,1,http://localhost:8080/api/person,4,0,0
1574590709423,4,HTTP AddRequest,200,OK,Thread Group 1-1,text,true,,190,222,1,1,http://localhost:8080/api/person,4,0,0
1574590709428,5,HTTP AddRequest,200,OK,Thread Group 1-1,text,true,,189,221,1,1,http://localhost:8080/api/person,4,0,0
1574590709433,7,HTTP AddRequest,200,OK,Thread Group 1-1,text,true,,188,220,1,1,http://localhost:8080/api/person,7,0,0
1574590709441,7,HTTP AddRequest,200,OK,Thread Group 1-1,text,true,,191,223,1,1,http://localhost:8080/api/person,6,0,0
1574590709449,7,HTTP AddRequest,200,OK,Thread Group 1-1,text,true,,189,221,1,1,http://localhost:8080/api/person,7,0,0
1574590709457,5,HTTP AddRequest,200,OK,Thread Group 1-1,text,true,,191,223,1,1,http://localhost:8080/api/person,5,0,0
1574590709463,6,HTTP AddRequest,200,OK,Thread Group 1-1,text,true,,192,224,1,1,http://localhost:8080/api/person,5,0,0
1574590709470,6,HTTP AddRequest,200,OK,Thread Group 1-1,text,true,,187,219,1,1,http://localhost:8080/api/person,6,0,0
1574590709477,6,HTTP AddRequest,200,OK,Thread Group 1-1,text,true,,189,221,1,1,http://localhost:8080/api/person,6,0,0
1574590709484,5,HTTP AddRequest,200,OK,Thread Group 1-1,text,true,,191,223,1,1,http://localhost:8080/api/person,4,0,0
1574590772509,374,JDBC ClearDatabseRequest,200,OK,Thread Group 1-1,text,true,,1623,0,1,1,null,371,0,361
1574590772884,8,HTTP getAllPersonsRequest,200,OK,Thread Group 1-1,text,true,,3987,130,1,1,http://localhost:8080/api/persons,7,0,1
1574590773194,26,HTTP GetRequest,200,OK,Thread Group 1-1,text,true,,188,133,1,1,http://localhost:8080/api/person/201,25,0,0
1574590773522,5,HTTP GetRequest,200,OK,Thread Group 1-1,text,true,,189,133,1,1,http://localhost:8080/api/person/202,4,0,0
1574590773828,3,HTTP GetRequest,200,OK,Thread Group 1-1,text,true,,189,133,1,1,http://localhost:8080/api/person/203,3,0,0
